Price,Close,High,Low,Open,Volume
2010-01-31,1116.8263003700658,1122.7894672594573,1109.1894595497533,1117.5789409436677,16877.052631578947
2010-02-28,1098.1894788240131,1106.3947368421052,1086.273681640625,1098.9000115645558,958.3684210526316
2010-03-31,1114.3565249235733,1117.9521802819293,1110.1260827105978,1114.204345703125,9677.521739130434
2010-04-30,1151.4523751395088,1155.2666713169642,1143.0285702659971,1150.528576078869,519.8571428571429
2010-05-31,1203.9550048828125,1209.080010986328,1196.9749938964844,1204.2550109863282,18083.05
2010-06-30,1234.6636408025568,1240.6454467773438,1224.3454478870738,1233.5227328213778,759.2272727272727
2010-07-31,1191.7476225353423,1196.3333333333333,1187.8428548177083,1191.442859468006,12739.285714285714
2010-08-31,1217.4454512162642,1221.5909201882102,1210.8590975674715,1217.3363702947443,420.45454545454544
2010-09-30,1273.0380917503721,1276.3571370442708,1268.7285621279761,1272.1380905877977,1580.952380952381
2010-10-31,1343.2190406436011,1351.5999872116815,1333.557140531994,1341.8238060360864,151.9047619047619
2010-11-30,1370.1857212611608,1378.6190418061756,1361.3190452938989,1371.0618954613096,11682.238095238095
2010-12-31,1393.954551003196,1400.7272616299715,1384.5545487837358,1392.6954623135653,750.5
2011-01-31,1361.679998779297,1370.2749938964844,1354.0699951171875,1365.0649963378905,14968.95
2011-02-28,1373.805265727796,1378.3105340254933,1365.2578960217927,1370.0421014083058,761.4736842105264
2011-03-31,1422.6173891813858,1428.2260901409647,1416.873922596807,1421.9434761379075,8449.478260869566
2011-04-30,1481.8650024414062,1487.7200073242188,1472.429998779297,1478.4150024414062,790.05
2011-05-31,1511.0142880394346,1518.9190499441963,1503.0523856026787,1513.0999988374256,12916.619047619048
2011-06-30,1527.9954556551847,1536.6409024325285,1520.5863591974432,1529.8681640625,683.0454545454545
2011-07-31,1577.1250061035157,1582.344989013672,1566.7750122070313,1572.2849975585937,15496.6
2011-08-31,1758.491306470788,1782.1391389266305,1736.1347815472147,1755.3739119819973,1115.0869565217392
2011-09-30,1762.1857154482886,1791.2238188244048,1747.9381045386904,1775.8095412481398,1516.5714285714287
2011-10-31,1669.9142775762648,1682.895252046131,1653.2714204334077,1669.3047630673364,129.28571428571428
2011-11-30,1742.5904831659227,1749.6476178850446,1727.933337983631,1739.6381022135417,12238.52380952381
2011-12-31,1641.9666748046875,1658.490490141369,1631.4571416945685,1648.952392578125,538.6190476190476
2012-01-31,1660.195001220703,1666.4850036621094,1650.4200012207032,1655.3550048828124,11885.4
2012-02-29,1743.8350158691405,1755.8900024414063,1730.2150024414063,1744.969989013672,479.35
2012-03-31,1675.6590964577415,1684.3318204012785,1664.9000077681108,1677.254549893466,11570.0
2012-04-30,1650.5850036621093,1657.695001220703,1640.0849975585938,1651.5700134277345,487.15
2012-05-31,1588.2818104137075,1595.4636285955255,1578.8136485706675,1588.9090742631392,15704.863636363636
2012-06-30,1600.690464564732,1610.2380952380952,1586.5904773530506,1599.5904715401787,531.5238095238095
2012-07-31,1592.51904296875,1598.4476202101935,1584.8952462332588,1592.2142857142858,12263.238095238095
2012-08-31,1629.9173902428668,1635.8260816491168,1619.9782502547555,1626.8565355383832,512.304347826087
2012-09-30,1748.8052593030427,1754.578947368421,1740.1842105263158,1746.421052631579,1345.1052631578948
2012-10-31,1747.7285737537202,1754.942847842262,1742.7857142857142,1749.9285598028273,106.85714285714286
2012-11-30,1721.3190452938989,1728.3333391462054,1715.3047630673364,1722.3809581938244,16465.571428571428
2012-12-31,1684.3800048828125,1692.6349975585938,1676.354998779297,1686.225,353.05
2013-01-31,1670.4476260230654,1676.8238118489583,1663.066662016369,1669.7857200985864,9415.380952380952
2013-02-28,1627.4684030633223,1639.0421078330592,1619.2157817639802,1632.0157856188323,620.2105263157895
2013-03-31,1591.5050048828125,1596.5949951171874,1586.3600036621094,1592.8700012207032,11192.35
2013-04-30,1484.6272804953835,1503.722733931108,1470.5272771661932,1490.9909057617188,665.8181818181819
2013-05-31,1416.6181918057528,1430.0227217240767,1406.0272771661932,1420.281815962358,10095.818181818182
2013-06-30,1342.1350036621093,1357.5350036621094,1330.175,1348.3750061035157,636.95
2013-07-31,1285.8045543323863,1295.4681951349432,1278.3863636363637,1286.1409024325285,8462.272727272728
2013-08-31,1352.6681574041193,1361.3363813920455,1340.3136374733665,1349.4863614169035,477.59090909090907
2013-09-30,1345.985009765625,1358.1800109863282,1337.7449951171875,1350.195001220703,887.95
2013-10-31,1316.8347751783288,1325.113037109375,1306.9695567255435,1316.38696819803,118.3913043478261
2013-11-30,1275.104998779297,1282.8450012207031,1270.070001220703,1278.7399841308593,13533.35
2013-12-31,1225.0095156715029,1234.3190452938989,1213.9428536551338,1225.5714227585565,693.047619047619
2014-01-31,1244.0619012741815,1249.7095307849702,1236.8047630673364,1242.4857177734375,9033.380952380952
2014-02-28,1300.9842143811677,1306.5947329872533,1291.7631514699835,1296.4789589329769,628.578947368421
2014-03-31,1336.4285714285713,1343.7714204334077,1329.5999988374256,1337.9428536551338,12180.666666666666
2014-04-30,1298.423793247768,1304.8809465680804,1291.538097563244,1298.2999965122767,393.57142857142856
2014-05-31,1287.538097563244,1292.1857154482886,1283.5428641183037,1288.547619047619,10054.42857142857
2014-06-30,1282.161900111607,1285.6380905877977,1274.5762009393602,1278.604771205357,505.6666666666667
2014-07-31,1310.6363636363637,1317.5863647460938,1307.654541015625,1313.6636408025568,10209.40909090909
2014-08-31,1295.0571463448662,1299.8857131231398,1290.2285737537202,1295.3047746930804,458.7142857142857
2014-09-30,1235.1285691034227,1239.1952311197917,1231.642857142857,1236.3761916387648,1319.2857142857142
2014-10-31,1222.93042522928,1227.7782619310462,1218.9869703209918,1224.4304358440897,196.08695652173913
2014-11-30,1176.1789422286183,1182.3736829255756,1168.1315725226152,1175.8736765008223,15758.421052631578
2014-12-31,1200.168174050071,1209.350008877841,1189.5499822443182,1198.3954412286932,506.3636363636364
2015-01-31,1252.9249938964845,1259.0100036621093,1241.2900024414062,1247.3349914550781,12930.75
2015-02-28,1224.9105224609375,1236.4947381270558,1220.5368523848683,1230.7421104029606,436.5263157894737
2015-03-31,1177.768182927912,1186.4136297052557,1173.454539905895,1180.654541015625,9782.045454545454
2015-04-30,1199.828578404018,1206.952369326637,1192.1666608537946,1199.8952346075148,373.23809523809524
2015-05-31,1198.2150085449218,1201.7350036621094,1192.7549987792968,1196.8199951171875,12906.15
2015-06-30,1180.7818215110085,1186.531827059659,1176.0454434481535,1182.2681884765625,284.1818181818182
2015-07-31,1128.113641912287,1134.4318126331675,1122.8272705078125,1130.8727195046165,9858.727272727272
2015-08-31,1118.7333112444196,1125.066673642113,1110.2666713169642,1116.942859468006,631.0
